betnumber,luckynumber,,Please note, This algorithm is still in testing, some Numbers Might be wrong.
,,,Check the alternative roll verifier
1,47.3755
2,93.3629
3,41.8316
4,1.0667
5,35.9316
6,11.9218
7,55.4914
8,93.801
9,64.7089
10,7.7379
11,50.1403
12,14.0005
13,95.6158
14,85.7173
15,31.2184
16,6.1303
17,24.0201
18,96.5118
19,24.1134
20,24.7703
21,40.2357
22,95.741
23,83.3231
24,55.948
25,3.5775
26,43.5007
27,33.8663
28,74.6163
29,46.5744
30,82.4974
31,76.2105
32,43.3043
33,89.3368
34,81.9487
35,66.5137
36,45.7319
37,89.4278
38,17.7924
39,22.5673
40,62.7964
41,79.8549
42,21.0774
43,99.6532
44,24.8808
45,8.5576
46,60.7043
47,56.4859
48,6.6338
49,10.5878
50,45.4199
51,70.2947
52,23.3039
53,67.7125
54,57.5334
55,15.2958
56,0.6406
57,40.8939
58,84.6984
59,48.8809
60,41.112
61,82.788
62,80.9427
63,96.7301
64,13.0325
65,28.1257
66,30.7128
67,64.0892
68,87.2891
69,99.83
70,62.6667
71,77.0129
72,48.7636
73,74.0119
74,94.9164
75,79.5804
76,99.4745
77,82.8862
78,39.1186
79,48.3925
80,41.0324
81,98.5224
82,66.4111
83,49.5815
84,58.3472
85,12.6306
86,70.6525
87,21.2808
88,63.8795
89,34.0432
90,26.6526
91,2.7751
92,54.6513
93,26.6357
94,40.0527
95,18.8143
96,49.2674
97,61.4026
98,66.2929
99,38.7419
100,71.9971
